_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger,source_recipe_id,rank_surrogate,variation_idx,phase,yield_score_surrogate
A_1908__nom,robust_valid,24.0,12.48,0.52,120.0,59.47664434555918,0.39348363038152456,0.31856160908937453,34.073201292194426,0.2020467373728752,0.510708695743233,0.028889297638088465,0.7526649748906493,50.0,12.651107072535156,2.540029891220866,0.6187847222222222,0.21782579463297302,14.864208414130257,0.6193420172554274,2.541994408460149,2.7701829575093893,0.14855997847320157,0.867825794632973,0.7192658161597715,2.147637286636045,4.586725975482864,0.009770337809724654,0.06428024668921424,0.8790322194032854,,,A_1908,48,0,nominal,0.793641666666666
A_2116__nom,robust_valid,24.0,12.48,0.52,120.0,47.57124806754291,1.243549358099699,0.315822512563318,23.17882674280554,0.202798691149801,0.5493294668383897,0.011000221073627471,0.9774276823736727,50.0,12.36886921579686,2.519159996367122,0.5881597222222222,0.13948457958716154,14.099980077120843,0.5874991698800351,2.531781360285417,2.7701829575093893,0.11232958140004978,0.7894845795871616,0.6771549981871118,2.0053541804323936,4.586725975482864,0.009033261914460959,0.03961308987320353,0.798793121816784,,,A_2116,49,0,nominal,0.793511629692043
A_1216__nom,robust_valid,24.0,12.48,0.52,120.0,41.610143716447055,1.3672207267954946,0.5350262203253806,32.938744109123945,0.19042085209861398,0.5190837877802551,0.021085440656170247,1.4149580029770732,50.0,12.461187823135907,2.4955909124098374,0.599375,0.11298049012957578,14.391536001317121,0.5996473333882134,2.5353377178600924,2.7701829575093893,0.22690504755392038,0.7629804901295758,0.5360754425756554,1.2304802475482268,4.586725975482864,0.015574325687919615,0.1329172509505314,0.7841196598446765,,,A_1216,50,0,nominal,0.792275
A_755__nom,robust_valid,24.0,12.48,0.52,120.0,40.16694007907063,0.1798289129510522,0.5976329936645925,35.134461666457355,0.1966028022766113,0.5986931262537837,0.020284112188965083,1.4393055667169392,50.0,12.35296458936459,2.5359577453787576,0.6298784722222223,0.17201868869584036,15.127123649647132,0.6302968187352972,2.5789079271453077,2.7701829575093893,0.2555247116593987,0.8220186886958404,0.5664939770364417,1.5156216613416478,4.586725975482864,0.015935837351499883,0.15797050685385722,0.8436430577872569,,,A_755,51,0,nominal,0.7921666666666667
A_225__nom,robust_valid,24.0,12.48,0.52,120.0,52.246970878914,0.265541709959507,0.4397309494204819,27.941041234880686,0.20807050003670155,0.47978400234133,0.0024448328744620085,1.4563289801590145,50.0,12.536163888459521,2.523747934986173,0.605,0.172362854183865,14.524682748088122,0.6051951145036717,2.5317169532262542,2.7701829575093893,0.18106511458349442,0.822362854183865,0.6412977396003706,1.917141458001313,4.586725975482864,0.019200480472679655,0.09105793295987455,0.8369759283836689,,,A_225,52,0,nominal,0.789766666666667
A_3129__nom,robust_valid,24.0,12.48,0.52,120.0,37.52307546045631,1.793059827759862,0.3700874514877796,26.718427315354347,0.19515788911841808,0.6170703718438745,0.008477347595617175,1.6768618091009557,50.0,12.47386360525811,2.463053035872289,0.6231770833333333,0.14988288047427312,14.937185174409567,0.6223827156003986,2.506419496410261,2.7701829575093893,0.1917281916284308,0.7998828804742731,0.6081546888458423,1.3945418780562187,4.586725975482864,0.012835306216306895,0.09078485735593754,0.8142659001190514,,,A_3129,53,0,nominal,0.7894750000000004
A_4206__nom,robust_valid,24.0,12.48,0.52,120.0,51.01079037040472,1.8276392351835966,0.31484568417072295,26.280013476498425,0.18433299945667386,0.5211593738757074,0.015017708139494062,1.0796638131141663,50.0,12.380698371070988,2.470253941008575,0.6039236111111111,0.12418866007298657,14.491630535756254,0.6038179389898439,2.4998460155563755,2.7701829575093893,0.16208994392128526,0.7741886600729866,0.6120987161517013,1.5187935208448655,4.586725975482864,0.011564545123517228,0.06864526608885288,0.7862177535675089,,,A_4206,54,0,nominal,0.7883500000000003
A_4728__nom,robust_valid,24.0,12.48,0.52,120.0,46.85512212663889,0.28782415855675936,0.5793383193202317,37.969174846075475,0.1740738573297858,0.5024931744672358,0.020541937854140997,1.269638866186142,50.0,12.456550361885167,2.543248441469248,0.5926215277777778,0.12254485697795037,14.225202900355182,0.5927167875147993,2.5670501563751955,2.7701829575093893,0.23955468467601443,0.7725448569779504,0.5329901723019359,1.4745112882460663,4.586725975482864,0.016125935006596506,0.15069915351931645,0.7963550782906561,,,A_4728,55,0,nominal,0.7858083333333337
A_1714__nom,robust_valid,24.0,12.48,0.52,120.0,34.189534856937826,0.48486503027379513,0.414177948795259,36.35241194162518,0.19840881009586156,0.6228989254683257,0.009812151314690709,1.3248308920301497,50.0,12.44449443278658,2.5158418467892973,0.64921875,0.20894544408427995,15.587736415626452,0.6494890173177689,2.5568299199618263,2.7701829575093893,0.23399462665015316,0.85894544408428,0.6249508174341268,1.7173666539176202,4.586725975482864,0.014249145780142884,0.12996032562324508,0.8742383878891384,,,A_1714,56,0,nominal,0.7853479033779341
A_1754__nom,robust_valid,24.0,12.48,0.52,120.0,48.40859183482826,0.18341206200420856,0.3669668177142739,25.307925632223487,0.19694126057438552,0.5194057051092387,0.015889141196385025,1.9391107289120555,50.0,12.437192124026884,2.5533561812200474,0.5348090277777777,0.11770181105342781,12.846656623530563,0.5352773593137735,2.5525067084063346,2.7701829575093893,0.08135030434597525,0.7677018110534278,0.6863515067074526,2.3252660645093437,4.586725975482864,0.006655003246825679,0.02958400725668814,0.7808155005342121,,,A_1754,57,0,nominal,0.7838333333333333
