recipe_id,rank_surrogate,yield_score_surrogate,p_robust_valid_surrogate,mean_cd_fixed_surrogate,mean_cd_locked_surrogate,mean_ler_locked_surrogate,mean_area_frac_surrogate,mean_p_line_margin_surrogate,fd_label,FD_yield_score_nominal,CD_final_fd,CD_locked_fd,LER_CD_locked_fd,area_frac_fd,P_line_margin_fd
A_540,85,0.7592833333333338,0.8871500000000003,15.741516388809144,12.422794782837492,2.536625399270888,0.6164913136574077,0.11513196728112618,robust_valid,1.0,15.552743438707527,12.468683354523895,2.516201665930226,0.6475,0.18661985137565085
A_3590,86,0.7582879909471403,0.9556166666666657,16.13193700905286,12.468738522362516,2.534342286920388,0.6263864826388895,0.11347890406287467,robust_valid,1.0,15.993855243485916,12.270673471131454,2.506601087378827,0.6661979166666666,0.16202054053525194
A_4073,87,0.7578333333333332,0.8863833333333333,14.540128460781336,12.442468140829378,2.5539297218314663,0.62768158275463,0.10611042242528627,robust_valid,1.0,14.127615707098908,12.540491963603538,2.5322596861789988,0.5886284722222223,0.13159522266504875
A_911,88,0.7569083333333337,0.893966666666667,15.625498236272133,12.481907745561688,2.5848713791015725,0.6529914039351852,0.12026424706707534,robust_valid,1.0,14.746259837356297,12.669434923779896,2.5205176224715022,0.6142881944444445,0.17185691536004466
A_4247,89,0.7559666666666666,0.9034499999999998,15.90726703290144,12.517966859712107,2.520837154643379,0.6622523868634259,0.14066221765006073,robust_valid,0.8439639735362192,16.15603602646378,12.671186818357995,2.4606942328156154,0.6730381944444445,0.170374930420367
A_2241,90,0.7556583333333337,0.9057500000000002,15.461837013208845,12.747630159704752,2.6876571284824213,0.7855422401620368,0.18760619309790627,robust_valid,1.0,14.844095456058175,12.26262333632319,2.561904672376188,0.6175520833333333,0.22945346414112877
A_2510,91,0.7541833333333336,0.9004333333333335,15.470208913439008,12.578366551863295,2.621377201038274,0.7256281342592587,0.17100529873314152,robust_valid,1.0,14.182182526241917,12.260921446559152,2.529579422629448,0.5914756944444445,0.1580021030994998
A_1525,92,0.7529242447255954,0.9174500000000007,16.02618408860774,12.45529296758738,2.553353283225072,0.6968394982638884,0.1504962436142785,robust_valid,1.0,14.847092772355941,12.287306102396048,2.485589071003438,0.6187152777777778,0.16223792105422352
A_223,93,0.7527083333333338,0.8920333333333338,15.245378966037949,12.404013539539841,2.523414315231095,0.6216960315393518,0.11211887918119601,robust_valid,1.0,15.769732520746311,12.205894705952264,2.466372357096075,0.6571180555555556,0.166786759569303
A_433,94,0.7521239303953631,0.9481333333333332,16.130267736271303,12.42611992548109,2.5615072391514038,0.6718503628472225,0.13805984716593797,robust_valid,1.0,15.053115234461975,12.457671417468617,2.5237685542478925,0.6274826388888889,0.17856019589980265
A_3655,95,0.7506083333333333,0.8881500000000001,14.916882292114245,12.445092272416892,2.599070747215419,0.6669804531250005,0.11240427919494139,robust_valid,0.6076798110197181,13.607679811019718,12.620144217554342,2.5110545680876872,0.5669618055555555,0.09383663260566533
A_2043,96,0.7501083333333332,0.8723333333333332,14.00312853920899,12.524348033712027,2.581368979912875,0.6377639210069451,0.10189615100896565,robust_valid,1.0,15.464575253912432,12.55340837807144,2.501839703586353,0.6438194444444445,0.1687384996031689
A_1597,97,0.7479686266547751,0.9304833333333342,16.073956373345226,12.46690087468577,2.5714335650701368,0.6870807248263886,0.14350018134270134,robust_valid,0.8648420721484804,16.13515792785152,12.436343156813573,2.497472566823119,0.6722222222222223,0.20590628080903572
A_4189,98,0.7479333333333329,0.8846166666666663,15.835664127151244,12.405185743576862,2.543208114897465,0.6783624210069441,0.14534081510908262,robust_valid,1.0,15.032106799429508,12.672860759470993,2.5335279750998034,0.6266145833333333,0.2195086559822872
A_4362,99,0.7477916666666671,0.8854833333333336,15.59931659634643,12.389974389991494,2.5582352808653708,0.6559191597222223,0.12284706950344518,robust_valid,1.0,14.15321112521762,12.38122250590464,2.5198280554245693,0.5897222222222223,0.14517765950069506
A_3861,100,0.7469666666666676,0.8824833333333342,15.587994306542395,12.592471871996345,2.617309856576406,0.7167500092592596,0.15938355246230765,robust_valid,1.0,15.10849857182443,12.505278239899477,2.4948071517034593,0.6296006944444444,0.17535849855972963
