recipe_id,rank_06c,yield_score_06c,yield_score_06a,p_robust_valid_06c,p_robust_valid_06a,mean_cd_fixed_06c,mean_ler_locked_06c,fd_label,FD_yield_score_nominal,CD_final_fd,CD_locked_fd,LER_CD_locked_fd,area_frac_fd,P_line_margin_fd
D_547,39,0.9811083333333341,0.7926999999999997,0.9914333333333342,0.914883333333333,14.031544645648514,2.547789276021788,robust_valid,1.0,14.313805192997483,12.62356610297213,2.5464726935898083,0.5964409722222223,0.1910193041539029
D_2680,40,0.9801666666666685,0.7292076412073031,0.9929000000000019,0.9377833333333337,14.399900206863698,2.534294902554116,robust_valid,1.0,15.210599795063356,12.473830195608093,2.5062913437808483,0.6335243055555555,0.1668977799086947
D_4008,41,0.9795500000000021,-0.6347584727799858,0.9931666666666689,0.9430500000000009,15.84923217364213,2.541510695322657,robust_valid,0.3417203042315222,16.658279695768478,12.291545989867785,2.527014346662886,0.6940798611111111,0.2777403847916141
D_4836,42,0.9790916666666682,0.8611916666666671,0.990683333333335,0.9426333333333338,14.215047016748294,2.53144722234807,robust_valid,1.0,14.46973645792146,12.394490537643014,2.485244478797356,0.6027083333333333,0.12974764958472362
D_3372,43,0.9790000000000005,-0.5550586522268349,0.9923166666666673,0.9408000000000004,15.213307301047648,2.5373848768343406,robust_valid,-0.8105122119351513,17.81051221193515,12.353764470493623,2.5226990802388425,0.7415451388888888,0.24466906986075665
D_1485,44,0.9783666666666695,0.7500236593133462,0.9917500000000028,0.9289166666666668,14.581296723805599,2.535260892543146,robust_valid,1.0,15.249295002339284,12.614566522576112,2.520230089256896,0.6352777777777778,0.14427466788570464
D_785,45,0.9782666666666682,0.160932990732511,0.9913000000000015,0.9331500000000001,14.739859035566846,2.5380530888548405,robust_valid,1.0,14.868327024946893,12.434171824126068,2.5246450258587694,0.6196006944444444,0.15128455459334833
D_2935,46,0.9770000000000001,0.6627476571932139,0.9906666666666668,0.9570499999999992,15.213021870199206,2.537364903601903,robust_valid,1.0,15.813631559258269,12.459935571708431,2.5062934936175667,0.6587326388888889,0.234642276481573
D_1397,47,0.9765333333333349,0.8192750000000003,0.9874833333333349,0.9204000000000003,14.33310262499338,2.540878864541983,robust_valid,0.7027657721341516,13.702765772134152,12.511238262743417,2.518589743019496,0.5709722222222222,0.12108132898609936
D_1928,48,0.9754344645430281,-1.0773673552736605,0.9926166666666686,0.9368166666666673,16.006640535456974,2.542652168354653,robust_valid,-0.13154933927278734,17.131549339272787,12.280682799916587,2.5215236918229196,0.713125,0.23048492953732302
D_1788,49,0.9750166666666684,0.10234816460322083,0.9902666666666684,0.9439666666666665,14.609011502600255,2.5382332410206825,robust_valid,0.8982474196852088,16.10175258031479,12.488033504263438,2.4965698717133646,0.6711805555555556,0.21241775192717827
D_1901,50,0.9736083333333346,0.19031967467960853,0.9889833333333345,0.9397333333333339,15.900206889436756,2.5399734259727227,robust_valid,-0.04467439141939167,17.04467439141939,12.645007985968794,2.5118442706897546,0.7098784722222222,0.24715120290580384
D_2243,51,0.9723333333333333,0.8102701144622496,0.9847499999999999,0.92605,14.689501398601603,2.5433676515996093,robust_valid,1.0,15.190533141466446,12.512686144621515,2.5181505502924306,0.6328125,0.20152573086649983
D_4760,52,0.9720166666666683,0.7103789678352688,0.988933333333335,0.9592333333333329,15.08324324816207,2.5393932704859092,robust_valid,1.0,15.91416032720654,12.49810983283616,2.5127051876057793,0.6630729166666667,0.22235544712356614
D_2264,53,0.971050000000001,-1.3283797627722813,0.988950000000001,0.9399333333333341,15.927261210641955,2.536684300220679,robust_valid,-0.7183162034133268,17.718316203413327,12.226506074590295,2.5361312400301483,0.7379513888888889,0.22239135087818374
D_3478,54,0.9700250000000001,0.06337028526271393,0.9844666666666668,0.9495999999999997,14.599964647140377,2.543332369619317,robust_valid,1.0,14.229316308541044,12.543772427407125,2.5341669129988893,0.5931423611111111,0.19483119656293513
D_2094,55,0.9691583333333342,0.9087499999999997,0.9852666666666675,0.956233333333333,15.249016894181043,2.5358169701268807,robust_valid,1.0,15.567095792420876,12.439702183339644,2.491329060113008,0.6482465277777778,0.18397348618134335
D_2377,56,0.9680583333333339,0.8541250000000008,0.9879666666666672,0.9378666666666676,14.088247241792192,2.5351306671501224,robust_valid,0.851626637433748,13.851626637433748,12.277971209269783,2.5029953036560033,0.5773263888888889,0.1194890110143133
