_id,label,pitch_nm,line_cd_nm,line_cd_ratio,domain_x_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm,CD_locked_nm,LER_CD_locked_nm,area_frac,P_line_margin,CD_final_nm,CD_pitch_frac,LER_after_PEB_P_nm,LER_design_initial_nm,P_space_center_mean,P_line_center_mean,contrast,psd_locked_mid,psd_design_mid,H_min,P_min,P_max,prefilter_score,roughness_trigger
04c_1170,under_exposed,20,12.0,0.6,100.0,28.4,2.0,1.0,45.0,0.16465140220452998,0.3709158012137993,0.02,1.0,19.003034000517083,12.099743290927067,4.691140150604509,0.32935416666666667,-0.12429328718531096,7.472425377392756,0.37362126886963776,4.002279075462393,2.812021531233865,0.38119440885758515,0.5257067128146891,0.1445123039571039,1.7938329795444108,4.616233784878745,0.02291264919152905,0.3073657902190245,0.5626275805781943,,ler_locked_max+ler_design_excess
04c_1171,under_exposed,18,10.799999999999999,0.6,90.0,40.0,2.0,0.8,30.0,0.15725809611925354,0.4650139947241603,0.02,0.5,34.29765477080375,10.805698106581096,4.319914759587445,0.6727314814814814,-0.04814884012890552,12.032600621442352,0.6684778123023529,4.296499529475532,2.8001199482964156,0.430120349045985,0.6018511598710945,0.1717308108251095,2.222465206790812,4.539811637792289,0.035399436345765686,0.3228653859571731,0.6375596257029398,,ler_locked_max+ler_design_excess
04c_1172,merged,20,10.0,0.5,100.0,44.2,2.5,1.0,45.0,0.16514870394654113,0.47000005878735773,0.0,1.0,95.39161053966376,9.940966272953279,4.8297796006597915,1.0,0.10648312550606087,19.5,0.975,0.0,2.812021531233865,0.6164601913030137,0.7564831255060609,0.14002293420304723,0.849761123572498,4.616233784878745,0.04286901035480498,0.5329899244384505,0.794924001986147,,ler_locked_max+ler_design_excess
04c_1173,merged,18,9.9,0.55,90.0,40.0,2.5,0.5,45.0,0.18633973272550292,0.48879659180348023,0.02,1.0,68.6000386774108,10.020943608649084,4.24492964885423,0.970949074074074,0.12141143871741977,17.062345931082284,0.9479081072823491,1.4681960616306906,2.8174375627189967,0.5655963968820206,0.7714114387174198,0.20581504183539923,1.913745873792644,4.625360082683857,0.030034352351134816,0.42538874329014453,0.8104929158601891,,ler_locked_max+ler_design_excess
04c_1174,merged,20,12.0,0.6,100.0,44.2,3.0,0.8,45.0,0.1886517907411631,0.536494566731602,0.01,1.0,20.570361320788034,13.576350406075974,nan,1.0,0.20988921925283233,19.5,0.975,0.0,2.812021531233865,0.7551161156885468,0.8598892192528323,0.1047731035642856,nan,4.616233784878745,0.05085332811251209,0.6712762994606337,0.8840553047710275,,
04c_1175,under_exposed,20,10.0,0.5,100.0,28.4,2.0,0.5,45.0,0.18410511835190954,0.3682789423907384,0.02,0.5,88.86053425793965,10.085348413588742,3.017341126083703,0.4465208333333333,-0.0573747686651227,8.923645575429845,0.44618227877149225,3.0274797545886054,2.812021531233865,0.30058757737888775,0.5926252313348773,0.2920376539559896,1.0692066020349797,4.616233784878745,0.020106328371037728,0.2104357106833597,0.6328158303299567,,ler_locked_max+ler_design_excess
04c_1176,merged,20,13.0,0.65,100.0,44.2,2.5,0.5,45.0,0.16771633505353853,0.35423870262835166,0.02,1.0,83.60853410638214,12.825893829004695,4.310700750007138,0.9058333333333334,0.037236117109959,17.829167373040654,0.8914583686520328,3.120615143942576,2.812021531233865,0.4993082825277263,0.687236117109959,0.18792783458223272,2.120349482967395,4.616233784878745,0.03508421978086381,0.37996579214539267,0.7126952711673779,,ler_locked_max+ler_design_excess
04c_1177,roughness_degraded,18,9.0,0.5,90.0,44.2,2.0,0.5,30.0,0.16859604492365365,0.5533029069724602,0.01,1.0,83.82822080383967,8.977798326253838,3.080200056558078,0.7151620370370371,0.0656734364823881,12.822784326718264,0.7123769070399035,3.610008866080608,2.812021531233865,0.3974902992886507,0.7156734364823881,0.3181831371937374,1.3747282493279784,4.616233784878745,0.028798251237388137,0.26083318940368894,0.7560491747723305,,ler_locked_max+ler_design_excess
04c_1178,merged,20,13.0,0.65,100.0,28.4,3.0,0.8,45.0,0.15208631078930304,0.5755338199709624,0.005,0.5,95.05970927335105,13.274047599678587,5.320469815873114,1.0,0.09608240013890035,19.5,0.975,0.0,2.812021531233865,0.6403534774016809,0.7460824001389004,0.10572892273721946,3.1842374603452166,4.616233784878745,0.03470702289751464,0.5600180984813171,0.7752819934619544,,ler_locked_max+ler_design_excess
04c_1179,under_exposed,20,11.0,0.55,100.0,28.4,3.0,1.0,30.0,0.18549135060462546,0.40878725296408414,0.02,1.0,86.79074643990323,11.122699793468682,4.329900142564163,0.043625,-0.16726736286921723,3.674705075856358,0.1837352537928179,2.5021316927544044,2.812021531233865,0.3319510434818881,0.4827326371307828,0.1507815936488947,1.0449269953970148,4.616233784878745,0.027463483734975296,0.25956308972401515,0.5205200803154264,,ler_locked_max+ler_design_excess
04c_1180,roughness_degraded,24,12.0,0.5,120.0,40.0,3.0,1.0,30.0,0.19888430556550482,0.4504356234374865,0.0,1.0,29.566856249545182,11.99461945929867,2.963026684657195,0.7539583333333333,0.04740869154969585,18.0508540602899,0.7521189191787458,3.919824346928446,2.812021531233865,0.43440837831648454,0.6974086915496959,0.2630003132332113,0.39606110461368277,4.616233784878745,0.04625193944933838,0.3502712599574008,0.7263624714211173,,ler_design_excess
04c_1181,merged,18,11.700000000000001,0.65,90.0,40.0,1.5,0.5,45.0,0.18489820915922114,0.5237916483664294,0.0,1.0,34.7643112154337,11.755424974117194,4.14648961873065,1.0,0.22372346926453246,17.5,0.9722222222222222,0.0,2.77500930553178,0.71239577862074,0.8737234692645325,0.1613276906437925,3.039243865989935,4.5966538529483305,0.050571092487574736,0.5765065281363057,0.8942764490437682,,ler_locked_max+ler_design_excess
04c_1182,merged,20,10.0,0.5,100.0,28.4,2.0,0.8,45.0,0.20076649851397962,0.646143124608503,0.02,1.0,35.12527402059114,9.9420082104071,3.5717305775269907,0.9422708333333333,0.12251711167081136,18.488635812213115,0.9244317906106557,2.3415820060040815,2.812021531233865,0.5250023093672943,0.7725171116708114,0.24751480230351708,0.9649895049611796,4.616233784878745,0.02167577020453869,0.4156034296848329,0.8143744483575055,,ler_locked_max+ler_design_excess
04c_1183,merged,20,12.0,0.6,100.0,44.2,2.0,0.5,45.0,0.193433329473839,0.3671307702654866,0.005,1.0,76.72000999944126,12.175191047759503,3.671059570283903,0.9688541666666667,0.13460204739401616,18.974890568860076,0.9487445284430038,1.6040691224203294,2.812021531233865,0.5528983558078101,0.7846020473940162,0.23170369158620607,1.3933846947266157,4.616233784878745,0.04719273817817959,0.4257586414265187,0.8090297803272556,,ler_locked_max+ler_design_excess
04c_1184,margin_risk,24,12.0,0.5,120.0,28.4,2.0,0.8,45.0,0.1683003223051631,0.5186639387025732,0.02,1.0,39.118399732999734,12.157756327477065,2.8206489153001724,0.5510763888888889,0.006064062409143034,13.206760286417662,0.550281678600736,2.8450086120590994,2.812021531233865,0.3234377665683568,0.6560640624091431,0.33262629584078623,0.6806031533433068,4.616233784878745,0.0159102863526425,0.2464658144793151,0.689056481842271,,
04c_1185,roughness_degraded,20,13.0,0.65,100.0,28.4,1.5,1.0,30.0,0.19539386876889442,0.5269914234112312,0.01,1.0,63.75549660028712,13.193198723817511,4.199428012199549,0.8597708333333334,0.019879974519408594,16.994967773129947,0.8497483886564974,3.6417103697212516,2.812021531233865,0.4805454076157884,0.6698799745194086,0.18933456690362022,2.173396010948698,4.616233784878745,0.03987691527207817,0.37924430218494537,0.6986214767326545,,ler_locked_max+ler_design_excess
04c_1186,merged,20,11.0,0.55,100.0,40.0,3.0,0.8,45.0,0.19659773126708402,0.4564661786484793,0.0,1.0,68.1877172834962,10.891770564465602,5.050309936641353,1.0,0.1624546148666215,19.5,0.975,0.0,2.812021531233865,0.6878675592954984,0.8124546148666215,0.12458705557112315,1.3924904468215047,4.616233784878745,0.05257891212484427,0.6036032170220265,0.843015223268102,,ler_locked_max+ler_design_excess
04c_1187,merged,18,9.0,0.5,90.0,40.0,2.5,0.5,45.0,0.15614945455884682,0.4276421308780334,0.0,0.5,93.04651999108975,8.975190035385847,3.9954656551759493,0.905787037037037,0.05286108199389572,16.009622473408154,0.8894234707448975,2.8764926255533783,2.812021531233865,0.5043424470391901,0.7028610819938957,0.19851863495470567,1.2050373367885494,4.616233784878745,0.034255296919273114,0.3906870897461249,0.7473756430278348,,ler_locked_max+ler_design_excess
04c_1188,merged,20,13.0,0.65,100.0,40.0,2.5,0.5,45.0,0.16142031359365883,0.5720156847116684,0.01,0.5,42.802897106896616,12.845856656191751,4.339713564656337,1.0,0.19913747258818637,19.5,0.975,0.0,2.812021531233865,0.6891153928544191,0.8491374725881864,0.16002207973376725,2.1451040105994017,4.616233784878745,0.039991965384333486,0.5699155169063677,0.8680632702301132,,ler_locked_max+ler_design_excess
04c_1189,merged,24,13.200000000000001,0.55,120.0,40.0,2.5,0.8,45.0,0.1626995548956794,0.5291123527893683,0.02,0.5,86.2321352981189,13.189306288912752,3.0340285573599006,0.9530034722222223,0.12932413875885673,22.515428766007336,0.9381428652503057,2.2592843699953895,2.790404311903947,0.5210066978478837,0.7793241387588568,0.2583174409109731,0.5417734675258872,4.640129641112166,0.02936672347985846,0.4279419348667056,0.8025219806814344,,ler_locked_max+ler_design_excess
04c_1190,merged,20,11.0,0.55,100.0,28.4,1.5,1.0,45.0,0.213810677986351,0.6337610865622324,0.0,0.5,60.78469626680253,10.964141964846563,4.196666345834506,1.0,0.20615575015624488,19.5,0.975,0.0,2.812021531233865,0.7047437644869041,0.8561557501562449,0.15141198566934078,1.1113566543528086,4.616233784878745,0.04226267857937684,0.6177456717182784,0.8849508350706436,,ler_locked_max+ler_design_excess
04c_1191,under_exposed,24,15.600000000000001,0.65,120.0,44.2,3.0,1.0,30.0,0.17089929546364518,0.3914702940058934,0.01,1.0,94.90122509805279,15.771289844308928,4.212406370781102,0.7988715277777778,-0.014876796068004405,19.059118282757893,0.7941299284482456,4.347112376744784,2.7751431839943566,0.4613503892258562,0.6351232039319956,0.17377281470613942,1.5167493730652712,4.570215469540365,0.049767967067480726,0.37759938482758015,0.6537124501113415,,ler_locked_max+ler_design_excess
04c_1192,merged,20,11.0,0.55,100.0,44.2,2.0,1.0,45.0,0.1810445199544844,0.45287847818652804,0.01,1.0,71.28755582289133,11.051373063125743,4.611856701981685,1.0,0.11624138408905937,19.5,0.975,0.0,2.812021531233865,0.6106960342717591,0.7662413840890594,0.15554534981730028,1.3649076544405172,4.616233784878745,0.042106981111551534,0.520675518417367,0.801836904498801,,ler_locked_max+ler_design_excess
04c_1193,merged,18,9.0,0.5,90.0,44.2,2.0,0.5,45.0,0.1664337126601887,0.5800937608321013,0.01,1.0,40.71795004393211,8.8503831989126,3.5434632428891133,0.9769444444444444,0.17286616787616982,17.158298375378287,0.953238798632127,1.2267363632166775,2.812021531233865,0.576024766536726,0.8228661678761698,0.24684140133944388,1.3178111631862632,4.616233784878745,0.029865905495826454,0.436452761035628,0.8602018915042412,,ler_locked_max+ler_design_excess
04c_1194,merged,20,13.0,0.65,100.0,28.4,2.5,1.0,30.0,0.1956830337507055,0.6085735732017741,0.02,0.5,60.82562712393661,13.00968824985047,4.688548190003384,0.9854166666666667,0.06091689902293462,19.261474756410152,0.9630737378205076,1.0064357247978681,2.812021531233865,0.5623084913617009,0.7109168990229346,0.14860840766123373,2.5153388699019876,4.616233784878745,0.03983995605485258,0.46513130304295236,0.7397472436260732,,ler_locked_max+ler_design_excess
04c_1195,under_exposed,24,12.0,0.5,120.0,28.4,2.0,0.8,30.0,0.19799138449992915,0.38270233762325917,0.02,0.5,20.032140231089258,11.81305188224799,2.629759907931833,0.2665104166666667,-0.11339757078593082,6.460828620913834,0.26920119253807645,2.968162828935604,2.812021531233865,0.2079895791186421,0.5366024292140692,0.32861285009542707,0.7723837669828587,4.616233784878745,0.022932738365703725,0.1462433231173655,0.5650647002819186,,
04c_1196,under_exposed,20,10.0,0.5,100.0,40.0,2.0,0.8,30.0,0.15945731462647134,0.4868167728115691,0.005,0.5,75.34847558214732,10.189125749318006,3.1828332102962285,0.5681458333333333,-0.021988675795559298,11.363407476832709,0.5681703738416355,3.267305961814157,2.812021531233865,0.36644675386867137,0.6280113242044407,0.26156457033576935,0.9914807604613932,4.616233784878745,0.03301579604161146,0.2718863971626354,0.6664488480931517,,ler_locked_max+ler_design_excess
04c_1197,merged,18,9.0,0.5,90.0,28.4,2.5,1.0,45.0,0.19715588647076174,0.6284118569844439,0.01,0.5,85.06362954539594,9.040982094048331,5.195747567031463,1.0,0.12452567843578222,17.5,0.9722222222222222,0.0,2.812021531233865,0.6574202489929429,0.7745256784357822,0.1171054294428393,12.406500745356096,4.616233784878745,0.031725146537718664,0.5638022230689174,0.8217059498696608,,ler_locked_max+ler_design_excess+psd_mid_increase
04c_1198,merged,20,11.0,0.55,100.0,44.2,3.0,0.8,30.0,0.15977424304368543,0.5359497576282961,0.0,0.5,84.31513013855533,10.768398356704859,3.9720041281048557,0.9579791666666667,0.06011109121046987,18.766954673916004,0.9383477336958002,2.020089832323762,2.812021531233865,0.5343579204179214,0.7101110912104699,0.17575317079254849,0.807555431384562,4.616233784878745,0.046028818559069484,0.4347409511375254,0.7424625488136065,,ler_locked_max+ler_design_excess
04c_1199,robust_valid,24,14.399999999999999,0.6,120.0,44.2,2.0,0.5,30.0,0.21731784905953888,0.45243962352629974,0.0,0.5,66.01269173976534,14.16286641124429,2.637837247014205,0.8337326388888889,0.16796167846179944,19.923954363993168,0.830164765166382,3.3976938346353847,2.777139811468949,0.42422004333458585,0.8179616784617995,0.3937416351272136,1.0621029590636542,4.656752412925492,0.04344683381374953,0.2851213719762453,0.8293982593633027,,
04c_1200,merged,20,11.0,0.55,100.0,44.2,2.0,0.5,45.0,0.16178769016504832,0.3910421038790934,0.0,1.0,72.15089469419928,10.969981844101408,3.252909443167694,0.8850208333333334,0.09290114361487989,17.473331709563237,0.8736665854781618,3.2119625324942946,2.812021531233865,0.4853657966189407,0.7429011436148799,0.2575353469959392,1.06172744770543,4.616233784878745,0.038746525880221774,0.36856338424295115,0.7722889931233857,,ler_locked_max+ler_design_excess
04c_1201,under_exposed,24,13.200000000000001,0.55,120.0,28.4,3.0,0.8,30.0,0.20371934602118857,0.4124183693612488,0.01,1.0,91.79874565940989,13.403569168723013,2.8353145055561297,0.4650520833333333,-0.06008068633927055,11.169000699676669,0.46537502915319456,2.748866791495176,2.790404311903947,0.31908253109469376,0.5899193136607295,0.2708367825660357,0.4760282485687834,4.640129641112166,0.031207950825700815,0.24065030867048778,0.6160647816088769,,
04c_1202,merged,18,10.799999999999999,0.6,90.0,40.0,2.0,0.5,45.0,0.17956917125165872,0.5689260446879039,0.02,0.5,88.7999526708012,10.75604613098777,4.164263265807067,1.0,0.19207339199511653,17.5,0.9722222222222222,0.0,2.8001199482964156,0.6534302261800644,0.8420733919951165,0.18864316581505214,2.160466008588385,4.539811637792289,0.034700720604937514,0.5108573953520034,0.8691567910867701,,ler_locked_max+ler_design_excess
04c_1203,under_exposed,20,13.0,0.65,100.0,28.4,3.0,0.8,30.0,0.21167935071126087,0.38890349727327284,0.005,1.0,46.65415137541041,13.500392398118242,4.727696510255705,0.7649791666666667,-0.0462316431994918,15.177789559237306,0.7588894779618653,4.634887538039809,2.812021531233865,0.4636280905319516,0.6037683568005082,0.14014026626855663,2.853961260225704,4.616233784878745,0.04885058720577072,0.37512652996706536,0.6323713238269385,,ler_locked_max+ler_design_excess
04c_1204,merged,20,12.0,0.6,100.0,44.2,3.0,0.5,30.0,0.21948147531298923,0.545205347827071,0.02,0.5,61.86462411053821,11.972061848316738,3.7367804653547543,0.9981041666666667,0.1774587685169381,19.472310083421675,0.9736155041710838,0.18445645112680853,2.812021531233865,0.6168127544591019,0.8274587685169381,0.21064601405783623,1.3758353020264327,4.616233784878745,0.04950805924965455,0.4808898351851757,0.8480104139551538,,ler_locked_max+ler_design_excess
04c_1205,merged,20,10.0,0.5,100.0,44.2,3.0,0.5,45.0,0.17836988313863125,0.48533433217340083,0.005,0.5,16.912544011006347,9.78542434077268,3.5089396950237344,0.9975,0.1641696821995945,19.464669322729076,0.9732334661364538,0.2236656681460764,2.812021531233865,0.6010863651835083,0.8141696821995945,0.21308331701608618,0.717532398419707,4.616233784878745,0.03921046967954719,0.4844639866956803,0.8457710093984765,,ler_locked_max+ler_design_excess
04c_1206,under_exposed,18,9.0,0.5,90.0,40.0,3.0,0.8,30.0,0.16276201973094623,0.5609061969553158,0.02,0.5,47.791123536879276,8.72316129663331,4.683462495092474,0.8179398148148148,-0.01342575453693573,14.530823868615183,0.8072679927008435,4.188495594694418,2.812021531233865,0.47664856831639507,0.6365742454630643,0.15992567714666922,5.4229983874878736,4.616233784878745,0.03227637517531677,0.3760462365043363,0.6845953801129019,,ler_locked_max+ler_design_excess
04c_1207,margin_risk,24,12.0,0.5,120.0,28.4,1.5,0.5,45.0,0.18450035137581605,0.3991497458979657,0.01,1.0,93.2465139979937,12.023807121453583,2.587488699688492,0.5144965277777778,0.02264798331600082,12.332274319437683,0.5138447633099035,2.5900171574163173,2.812021531233865,0.23674303839933383,0.6726479833160008,0.435904944916667,1.0157142764096676,4.616233784878745,0.017393508175271955,0.15976396535186313,0.7007599782408522,,
04c_1208,under_exposed,18,11.700000000000001,0.65,90.0,28.4,1.5,0.8,30.0,0.15500104921060884,0.4970088176347768,0.0,0.5,92.14300799826063,11.677990425321711,4.2269051303362435,0.651875,-0.06000215674114662,11.677990425321711,0.6487772458512062,4.2269051303362435,2.77500930553178,0.42419839031258266,0.5899978432588534,0.16579945294627074,2.998590798949243,4.5966538529483305,0.03640561483180784,0.31962987472687077,0.62206607580594,,ler_locked_max+ler_design_excess
