recipe_id,mode,tags,strict_score_06l_direct_mean,mean_cd_fixed_06l,mean_ler_locked_06l,mean_p_line_margin_06l,g4867_normalised_distance
J_3869,mode_b,mode_b_far_from_G4867,-3.970114017468778,15.295182593047999,2.5775994853451807,0.1363387831044779,0.3301793128793694
J_979,mode_b,mode_b_far_from_G4867,-4.149311152716935,14.717772908781033,2.525826867852319,0.14746065418172044,0.43770365365992475
J_4853,mode_b,mode_b_far_from_G4867,-4.213103942541961,14.939048685534617,2.4258586270482123,0.11115080609318928,0.3943009339336075
J_3949,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.229870531047657,14.806207328322534,2.519069261385843,0.15127234719034283,0.3955262857318
J_3880,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.279535410133031,14.635666720550454,2.7316996876022297,0.182356928355512,0.3028042301820842
J_1277,mode_b,mode_b_far_from_G4867,-4.325186963375426,15.060244064877843,2.462132735617236,0.11947344965929321,0.30343037446670895
J_3170,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.3831180606116495,15.153065968971866,2.5259426458203804,0.19978908933960715,0.41239278002760915
J_1913,mode_b,mode_b_far_from_G4867,-4.461411596112808,14.621305359869876,2.4162655952164847,0.10002104739811557,0.3582545472074304
J_3509,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.535561578587059,15.408951408729786,2.449785484449106,0.16958312133665665,0.4041979940147601
J_4013,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.5837374168661995,14.20470515229409,2.5372984359804804,0.17378171854243127,0.31790873561293664
J_803,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.632623725369339,15.409121096610663,2.5390703857235444,0.18272754013522158,0.37209442472415427
J_1741,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.697691220721039,14.797711398618553,2.5369460713175647,0.18050524069329044,0.39298618756182135
J_357,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.861376179168177,14.902736874724269,2.4142394958914486,0.15073111481994683,0.44566766387701395
J_3545,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-4.896053883071028,15.913032596610822,2.4022018225153166,0.1926366009110232,0.32026561229153466
J_533,mode_b,mode_b_far_from_G4867,-4.987900370479182,15.398472979576868,2.457942422318703,0.12540174396151713,0.32566848329144776
J_3923,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-5.191728409298712,15.055054718908842,2.5251466165020076,0.20242740735465575,0.36613685908818666
J_4915,mode_b,mode_b_far_from_G4867,-5.2819009069975005,13.900177123385916,2.5425940137651457,0.13543101386633333,0.3160542404783974
J_2380,mode_b,mode_b_low_margin,-5.662086995260636,13.759092500522945,2.7255070631980813,0.1636161078276057,0.25417557354659637
J_1637,mode_b,mode_b_far_from_G4867,-5.66813241766916,14.653096255472127,2.4655798017768613,0.13799288806210616,0.341092096677204
J_837,mode_b,mode_b_far_from_G4867,-5.848520227214821,14.818309627279273,2.407921473436387,0.1439539119074836,0.38022241109927446
J_217,mode_b,mode_b_far_from_G4867,-5.884831667975061,14.874447947340004,2.3838887664628152,0.1371865148444771,0.4325214128118957
J_1981,mode_b,mode_b_far_from_G4867,-5.953606677843563,15.416571854437498,2.4257820974361968,0.08848939056176362,0.4459732818051018
J_2517,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-6.166614483244432,14.818959236624138,2.450245625536732,0.16134903841242806,0.40211096726503254
J_1021,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-6.207726095199142,15.375866739899136,2.412272536141557,0.1771650847090374,0.358791430566647
J_3437,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-6.226965614590623,14.812077583764887,2.5282847587683124,0.19932709057516912,0.35706694178726506
J_2323,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-6.309627144913163,15.157791651887532,2.566711377779569,0.16999026551292976,0.44357612497457594
J_2563,mode_b,mode_b_low_margin,-6.312826653942721,15.086555031914727,2.571688601999674,0.15576907854609803,0.2950199070791589
J_825,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-6.315054997089101,14.55910282155226,2.4145692795851317,0.17762568385527494,0.42904037951129764
J_625,mode_b,mode_b_far_from_G4867,-6.714383158408334,15.221402700588538,2.3714719435586216,0.109034968355139,0.39780437463403623
J_4505,mode_b,"cd_boundary,mode_b_far_from_G4867",-6.932632220065358,15.51754572815702,2.4641496520095973,0.13633090753656318,0.31138142343575026
J_13,mode_b,"mode_b_far_from_G4867,mode_b_low_margin",-7.180218978837343,14.653782276345803,2.561594694485069,0.1700088311617599,0.404638104259624
J_1725,mode_b,mode_b_far_from_G4867,-7.823099735519052,15.566001995539223,2.464775833977634,0.12612839609944856,0.3891088339555682
J_313,mode_b,mode_b_far_from_G4867,-8.164760890402516,15.366670133073974,2.424650000367884,0.11573537152344521,0.4054517631472903
J_3882,mode_b,mode_b_far_from_G4867,-9.509799590793321,15.254663910572281,2.456011133172695,0.13926621237789033,0.3645357787319292
