recipe_id,rank_strict_06g,strict_score_06g,yield_score_06g,strict_score_06h,yield_score_06h,p_robust_valid_06h,mean_cd_fixed_06h,std_cd_fixed_06h,mean_ler_locked_06h,std_ler_locked_06h,mean_p_line_margin_06h,rank_strict_06h
G_1990,28,0.6462082696335251,0.8565416666666666,-1.842943354759678,0.6058892602680256,0.9785666666666674,16.33846907306531,0.31039276488065376,2.516622017894328,0.01879586819063537,0.19158492031553706,100
G_2530,29,0.6453718390858554,0.9529416666666668,0.7430506939394619,0.9960250000000016,0.9977333333333349,14.767803875221057,0.28892504061202745,2.5384001124160966,0.018161498825560896,0.180125935857073,5
G_1220,30,0.6452662349175406,0.8743166666666665,0.5459283188185831,0.9398500000000006,0.9766166666666674,14.543286320452937,0.4281751055861515,2.517486697268,0.019679444253794472,0.1763725861265243,51
G_4478,31,0.6434468775156308,0.9526416666666674,0.5193755447831467,0.9801083333333361,0.9916333333333361,15.506302642410951,0.4784561976268595,2.534527511091539,0.018044090686308304,0.18261352661070776,56
G_4311,32,0.6431900802234507,0.9007416666666676,0.6042985396190708,0.9501666666666685,0.9791500000000017,15.07064627436808,0.3842207573711428,2.5400018288647863,0.01875766047481516,0.1909258422438108,32
G_1572,33,0.6424603759066398,0.9847666666666687,0.5909083493424107,0.9869250000000022,0.9939833333333354,15.04897514069767,0.43651978639684386,2.5364282561269316,0.0197790312892592,0.20157060553552783,36
G_1645,34,0.6417979411184032,0.977866666666668,0.4575072881240356,0.9925833333333338,0.9966666666666673,14.395517224749383,0.25634168867192864,2.5404804693672447,0.018707646560461366,0.1762711699788433,63
G_3491,35,0.6373718041434694,0.9239333333333334,0.6064123433410858,0.9530416666666679,0.9757166666666679,14.801763840396251,0.3906486365510142,2.5436123669920296,0.01761296855045429,0.2113031900026374,31
G_1612,36,0.6369784649611913,0.9525249999999988,0.6911278125888414,0.9623250000000008,0.9800666666666674,14.574786907967951,0.3085367976737752,2.5424143490291073,0.017605472010868418,0.18456938507220008,15
G_744,37,0.6368490248210306,0.8824083333333337,0.7108436318171739,0.9402916666666677,0.9749166666666678,15.303291748620568,0.2723711578459145,2.542486664252174,0.01917155551644198,0.21003560301856652,10
G_1945,38,0.6340004185453697,0.841175,-0.48099479520368904,0.919475,0.9576,15.869594710605067,0.33781124868802265,2.537657892594641,0.018184496315348294,0.22087133382884028,85
G_4620,39,0.6333586192094758,0.9887250000000029,0.010947426646161745,0.999975,0.9999833333333333,15.731569346917768,0.33733381038720933,2.541254860615469,0.01928947699390283,0.2106360651345033,78
G_3094,40,0.6313077055795023,0.9301583333333338,-0.06562531566558122,0.9870833333333358,0.9927166666666691,15.738028073176896,0.3809381669476213,2.540071248015527,0.01772917112631052,0.204713292170185,80
G_1672,41,0.6288048945346896,0.9836083333333344,0.7143571435089322,0.9919666666666667,0.9966833333333333,14.912324520488447,0.32214961296023525,2.542606286699389,0.01796225322991436,0.2140848656698321,9
G_1235,42,0.6194866301610885,0.9957250000000009,-0.4716769021871871,0.9974500000000007,0.9991166666666673,15.848862767935707,0.46414969750935237,2.5377874087492907,0.01750466120099309,0.20145371891912306,84
G_4227,43,0.619411454760185,0.743433333333333,-0.27498274108440807,0.862675000000001,0.9443000000000009,15.737528844559165,0.46461878143838975,2.521595756311672,0.020918276028280725,0.20002684818246436,82
G_1978,44,0.6185156017317089,0.9016416666666685,0.45412031143970477,0.9544916666666657,0.9831999999999991,14.81017305322722,0.5384590836735608,2.5330693653618948,0.018196833943895815,0.18874458167419075,64
G_1859,45,0.6170678130266403,0.9322249999999991,0.6439493874373511,0.9841833333333345,0.9932833333333345,14.945145885933663,0.3767969116071454,2.540696522522149,0.01886367782936728,0.18397921850338292,22
G_2437,46,0.6150844004726566,0.9823750000000009,-0.9011638596573661,0.99995,0.9999833333333333,15.999137598439743,0.4488250563039139,2.5315358520687896,0.018874558429542963,0.21824508472219584,91
G_4299,47,0.6143115721574158,0.9971750000000008,0.7013490284915659,0.999975,0.9999833333333333,14.50993360934722,0.3425686486225388,2.5574460194501314,0.017639433526725867,0.21104957550987036,12
G_383,48,0.6139586946529295,0.9590249999999999,0.5628027202905803,0.9721250000000006,0.9859666666666672,14.45651354856643,0.3204914645508844,2.539432665160984,0.016990898078831643,0.20049595272635173,46
G_3730,49,0.6118620013241323,0.9641666666666674,0.6786354905452169,0.9883583333333343,0.9946166666666677,15.505900357925132,0.3327568809845124,2.5397260814475024,0.019847263614105156,0.20263497511537135,16
G_1888,50,0.6090846283192528,0.8895833333333338,-1.008419665319162,0.9280636089403866,0.9968000000000018,16.063678057726282,0.35096605643373374,2.5257233613361323,0.020023872632209505,0.20740333577141543,94
G_4817,51,0.6054913511501986,0.9428833333333336,0.5806328485395836,0.9721833333333338,0.9868500000000004,15.520268890958269,0.3713546670127967,2.5344701316971183,0.018888990318674737,0.2002214010127595,39
G_2135,52,0.6042314051700547,0.9664000000000008,0.6177433273435275,0.9858333333333346,0.9921666666666679,15.034603207735483,0.4119122895809808,2.5464001926945916,0.01665239549271385,0.2085939253501227,27
G_3178,53,0.603885511084687,0.8338500000000001,0.4145310254837584,0.907875,0.9571500000000001,14.90553518241194,0.5292332461792834,2.530955404987949,0.017684590832209798,0.17892626831658667,67
G_2918,54,0.6034982328819445,0.9054499999999994,0.5928326986703828,0.9250250000000004,0.9631500000000005,14.984496871336768,0.3725886413418481,2.545715536837891,0.019434344426390932,0.20045404890170382,35
G_829,55,0.603344985614801,0.9410416666666678,-1.461235816981835,0.7943317147714988,0.9995000000000003,16.2044932852285,0.38609401714157066,2.5087994398685187,0.01943168896666171,0.19691560131428326,96
