recipe_id,mode,strict_score_06l_eval,strict_score_06l_direct_mean,strict_score_06l_direct_std,yield_score_06l,p_robust_valid_06l,mean_cd_fixed_06l,std_cd_fixed_06l,mean_ler_locked_06l,std_ler_locked_06l,mean_p_line_margin_06l,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
G_3094,mode_a,0.07647126065109111,-0.5184300604795867,0.8332112833337548,0.9657750000000003,0.9812166666666671,15.67826114480417,0.3964145391762177,2.5409974425279938,0.01706629800262311,0.201709532964515,24.0,0.52,54.65420145448297,0.09298338834196329,0.6410124867223204,30.502680204808712,0.2184087434504181,0.5847857504151761,0.012436118591576815,1.7240678202360868,50.0
G_1672,mode_a,0.680826496909043,0.4795256525681563,0.37446973890009855,0.9868333333333342,0.9926833333333343,14.874449341963757,0.35039631494187307,2.540304902071834,0.01730513374142802,0.21216818155318312,24.0,0.52,48.402992863208055,0.110071518458426,0.3092947003431618,36.904442477971315,0.1972076478879899,0.4807346032001078,0.011697453008964657,1.499316700734198,50.0
G_1235,mode_a,-0.5160305068332095,-0.7051842443042983,1.256052891570244,0.9991250000000003,0.9995666666666669,15.901453144262241,0.3520384693193505,2.5372382019774466,0.018205318691203023,0.2013802184738651,24.0,0.52,54.84921732265502,0.4775082841515541,0.5373705711215735,36.018472448922694,0.19461041838862003,0.5919396938756109,0.014156641066074371,0.9120577853173018,50.0
G_4227,mode_a,-0.8807061786813359,-0.7519147198294561,0.5323206153053316,0.8511250000000002,0.9383500000000002,15.928634634792298,0.48507623780318565,2.519694280763426,0.02030297945603634,0.19720181290704153,24.0,0.52,52.95650394447148,2.205301271751523,0.31017896085977553,31.313753947615623,0.17319471341557802,0.49311219844967125,0.018638957552611825,0.7826161943376064,50.0
G_1978,mode_a,0.5351473736255742,-0.25109501543220447,0.7394813238539608,0.9697250000000006,0.9873500000000006,14.824572365110292,0.47259394088499174,2.5354587254108063,0.01904840437790776,0.1901620667980767,24.0,0.52,40.86802045907825,0.709583105519414,0.4274496456608176,30.72790175676346,0.20415117980912328,0.5285086559131742,0.012822347665205597,0.5442168428562582,50.0
G_1859,mode_a,0.579252817762343,-0.02262184994218269,0.30482797169218623,0.9802250000000021,0.9926833333333356,14.941095031115,0.4371658339291467,2.5417269927034862,0.01913587673990415,0.1830463602457587,24.0,0.52,48.56802566628903,0.34871826600283384,0.49754458405077456,31.43028128426522,0.18328337981365622,0.5224149039015173,0.004288085214793682,0.7459587692283094,50.0
G_2437,mode_a,-1.0688401691695466,-0.6329417641274876,1.0425103096075476,0.9528754381137298,0.9999833333333333,16.04709956188627,0.4726304970097769,2.5318254347628715,0.01846375277602651,0.21738355954821637,24.0,0.52,55.4696623776108,0.9115198832005262,0.34689015075564383,37.193306353874505,0.17655324902385472,0.5632296364754439,0.01627976627089083,1.6142520126886666,50.0
G_4299,mode_a,0.7137080512906728,0.5001576486071306,0.5320122519755415,0.9996250000000002,0.9997833333333336,14.548026383873239,0.32997516983013214,2.5555606135069393,0.01737708774713495,0.2109870599774886,24.0,0.52,55.62617867812514,0.06158248521387577,0.3865475097671151,28.919346518814564,0.2160651913192123,0.5580831694416701,0.02315185627900064,1.249629085417837,50.0
G_383,mode_a,0.6416654416194691,0.22481916431464577,0.36304491780382087,0.9792750000000001,0.9880500000000002,14.540721817317927,0.37889530546607275,2.5400206287322526,0.01812395788041773,0.2013909041030028,24.0,0.52,45.89775504078716,0.6675249729305506,0.38081193082034587,27.939072814770043,0.21231794847175478,0.5051382589153945,0.014015452628955245,1.4162329658865929,50.0
G_3730,mode_a,0.7622107612373543,0.18303884238521537,0.5936414273216372,0.9964750000000004,0.9979833333333338,15.497366800065661,0.2740634875958756,2.5385997065928145,0.01933846869239972,0.1978739327177173,24.0,0.52,52.362207158468664,0.5813325298950076,0.5386274030432106,31.509637837298214,0.20567740050144495,0.6178250809200108,0.02603002714924514,1.1293290285393596,50.0
