recipe_id,rank_surrogate,yield_score_06c,yield_score_06a,fd_label,CD_final_nm,CD_error_nm,LER_CD_locked_nm,P_line_margin_fd,area_frac_fd,defect_indicator,nominal_pareto_rank,nominal_crowding_distance,balanced_score,balanced_rank,cd_only_rank,ler_only_rank,yield_score_rank_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
D_2243,51,0.9723333333333333,0.8102701144622496,robust_valid,15.190533141466446,0.19053314146644595,2.5181505502924306,0.20152573086649983,0.6328125,0,2,0.13637225162263064,-1.11603120393539,24,11,52,51,24.0,0.52,49.08900592569262,0.44713321421295404,0.48501219106838106,31.48259500041604,0.18986604831181467,0.6405519581399859,0.0249641621299088,1.119651893619448,50.0
D_4760,52,0.9720166666666683,0.7103789678352688,robust_valid,15.91416032720654,0.91416032720654,2.5127051876057793,0.22235544712356614,0.6630729166666667,0,2,0.09339397441326122,-0.8221026455761118,37,66,38,52,24.0,0.52,49.03716845624149,0.6171355079859495,0.49848379027098416,28.020919538103044,0.20937122526578605,0.6487381044775248,0.020545862903818487,0.8196520945057273,50.0
D_2264,53,0.971050000000001,-1.3283797627722813,robust_valid,17.718316203413327,2.718316203413327,2.5361312400301483,0.22239135087818374,0.7379513888888889,0,4,inf,3.786845621654793,98,99,93,53,24.0,0.52,54.957978372462094,0.6956582721322775,0.5528746570460499,37.95009416528046,0.19574073581956328,0.5202332504093647,0.01348538864403963,1.0247923112474382,50.0
D_3478,54,0.9700250000000001,0.06337028526271393,robust_valid,14.229316308541044,0.7706836914589559,2.5341669129988893,0.19483119656293513,0.5931423611111111,0,4,0.6297844696772981,1.1270696733100356,80,56,91,54,24.0,0.52,50.800735116004944,0.1704223919659853,0.32324793208390473,37.84343325998634,0.17276938013732432,0.5466072202660144,0.018397621074691416,1.7606422281824052,50.0
D_2094,55,0.9691583333333342,0.9087499999999997,robust_valid,15.567095792420876,0.5670957924208757,2.491329060113008,0.18397348618134335,0.6482465277777778,0,1,0.11869723108941874,-1.9509541867766607,2,41,3,55,24.0,0.52,37.25144444871694,1.149397725239396,0.45319738490507006,32.6868182560429,0.20186536737717686,0.599106692429632,0.013388325618579984,1.400102118961513,50.0
D_2377,56,0.9680583333333339,0.8541250000000008,robust_valid,13.851626637433748,1.148373362566252,2.5029953036560033,0.1194890110143133,0.5773263888888889,0,4,inf,1.4088481201536966,82,74,16,56,24.0,0.52,50.4064774364233,1.0249262563884258,0.4091592665761709,27.1565953316167,0.16987960982136427,0.5712028198875487,0.020094139203429222,0.8920008619315922,50.0
D_4735,57,0.9677333333333349,0.8362000000000008,robust_valid,15.768115031827392,0.7681150318273922,2.5188765505245936,0.2283217332180586,0.6568055555555555,0,1,0.23776098162583706,-0.7749545228059034,40,55,56,57,24.0,0.52,54.0491783246398,0.8007527813315392,0.4011360571719706,24.375648126006126,0.20623118532821536,0.6423596169799566,0.0057889331504702565,0.6259022890590131,50.0
D_97,58,0.9677083333333345,0.733100849549337,robust_valid,14.960097501949004,0.03990249805099566,2.5067124152796962,0.17376582960284492,0.6238194444444445,0,1,0.18992481948024462,-1.484914359207304,17,2,26,58,24.0,0.52,50.110748218372464,1.065570934675634,0.35378632247447966,28.16910315770656,0.16855686534196138,0.6054113976657391,0.00896365433000028,0.6522683617658913,50.0
D_4032,59,0.9673333333333339,0.8621249999999996,robust_valid,13.768599801199931,1.2314001988000687,2.521545711240312,0.13294768229545817,0.5734548611111111,0,4,0.4880203350586686,2.518057883191657,90,79,64,59,24.0,0.52,39.812298238277435,0.4818689078092575,0.41163363279774784,29.423243161290884,0.19461855494417252,0.5296207802370191,0.013122172448784112,0.739815270062536,50.0
D_4611,60,0.964008333333333,0.7789750000000006,robust_valid,13.414815525004698,1.5851844749953017,2.5643389273125328,0.1407475321071331,0.5593055555555555,0,8,inf,5.914825503369157,100,90,100,60,24.0,0.52,49.35375370737165,0.33062093798071146,0.3017559756524861,25.922184116207063,0.17025780553929507,0.5637907249853015,0.003584134904667735,1.6182043217122555,50.0
D_228,61,0.9615083333333339,0.8392333333333328,robust_valid,14.936223767393793,0.06377623260620702,2.525542997698472,0.19277736894629227,0.6223263888888889,0,2,0.1462699474094215,-0.5896779775019251,44,5,77,61,24.0,0.52,59.140554514713585,0.6279274206608534,0.3559380589984357,28.762043877504766,0.1809322789683938,0.5361008094623685,0.004669797951355577,1.26111716683954,50.0
D_2203,62,0.961283333333334,0.39786151758700516,robust_valid,16.554400127215914,1.5544001272159136,2.519586076367286,0.25627484412845625,0.6890798611111111,0,2,0.3588683948834708,-0.1206612738130255,59,89,59,62,24.0,0.52,51.60956135764718,0.520096636377275,0.41416550120338796,35.00967212487012,0.2105637338757515,0.6157158381305635,0.02730394377373159,0.72922542411834,50.0
D_607,63,0.9600750000000007,0.8826083333333334,robust_valid,14.580810923977044,0.4191890760229562,2.4950263578136687,0.1493592681415591,0.6073090277777777,0,2,inf,-1.083203938079864,26,32,5,63,24.0,0.52,43.00818088743836,1.010103846900165,0.4225188970565796,32.01684882398695,0.1973235874157399,0.503731666598469,0.013582085268571973,1.3346238271333277,50.0
D_498,64,0.9592916666666664,0.8426083333333333,robust_valid,15.217502440588532,0.2175024405885324,2.5034237785564173,0.18325337155504084,0.6340972222222222,0,1,0.06289984762192413,-1.6575198207211772,11,15,17,64,24.0,0.52,51.571959623135626,0.8536781687289476,0.4240532253868878,28.86418907903135,0.21879356645047665,0.4709109618328512,0.006686132876202464,1.44465719955042,50.0
D_4637,65,0.9591833333333335,0.835475,robust_valid,16.122501857019707,1.1225018570197065,2.492702245173012,0.2159489302626919,0.6718576388888889,0,1,0.1768579809226571,-1.7281400154074134,8,73,4,65,24.0,0.52,59.58569131884724,1.0759763410314918,0.4927920156158507,28.617269550450146,0.2145011459570378,0.5677557921037077,0.02308189951814711,1.5229376149363816,50.0
D_1729,66,0.9585916666666662,0.8912666666666672,robust_valid,14.910901875107907,0.08909812489209301,2.4904372957621033,0.1626238483340402,0.6216666666666667,0,1,0.22462558777478076,-2.2739820224660545,1,7,2,66,24.0,0.52,57.067229172214866,1.2061351714655757,0.38425937965512275,29.122793888673186,0.1924878941383213,0.4912575051188469,0.013427870934829115,1.663361668586731,50.0
D_4730,67,0.9579833333333342,0.42111129922780965,robust_valid,15.911184126155964,0.9111841261559643,2.53410682449922,0.1781212711358785,0.6628298611111111,0,5,inf,1.7643889372787775,84,65,90,67,24.0,0.52,58.959961546584964,0.3607225315645337,0.5780357343144715,33.48134474828839,0.1748480404727161,0.5192664484493434,0.009031146056950093,0.8130762707442045,50.0
D_3335,68,0.9569666666666687,0.7533166666666672,robust_valid,14.788417169705719,0.21158283029428127,2.535431756169724,0.20477196300545109,0.6158680555555556,0,3,0.2509136842890518,0.053215830151278454,64,14,92,68,24.0,0.52,38.631851124577224,0.22100269049406052,0.3783623708412051,28.06920591276139,0.2179704679455608,0.5887054680846632,0.0023683368880301715,1.3251323024742305,50.0
D_3195,69,0.9569500000000014,0.8626416666666661,robust_valid,14.365949852706985,0.6340501472930153,2.514611112262296,0.12574720885602275,0.5984895833333334,0,4,0.4368596597716316,1.2265021727886976,81,46,40,69,24.0,0.52,50.03162979148328,0.6885637203231454,0.5779723801650107,28.628144091926515,0.1661345269996673,0.5812547454610467,0.012586022894829511,1.1092801867052913,50.0
D_2725,70,0.9562083333333333,0.7723455957409584,robust_valid,14.229058193180986,0.7709418068190139,2.5252549819146735,0.18172901231256788,0.593125,0,3,0.3116594686848587,0.8232628251635048,78,57,76,70,24.0,0.52,56.27688767295331,0.3837149469181895,0.36104120751842855,37.29482205118984,0.1641351444926113,0.5660772556439042,0.025241779731586575,1.5346134258434176,50.0
