recipe_id,rank_06l,fd_label,FD_CD_final_nm,FD_CD_error_nm,FD_LER_CD_locked_nm,FD_P_line_margin,FD_area_frac,strict_score_fd_nominal,strict_score_06l_surrogate,FD_pass_strict,pitch_nm,line_cd_ratio
J_2357,41,robust_valid,17.708241980097434,2.7082419800974336,2.4366498153620233,0.2035219562397511,0.6321428571428571,-5.573845451232363,-3.426177354789074,False,28.0,0.52
J_3653,42,robust_valid,17.167841330023556,2.167841330023556,2.4874457598540336,0.22994434295190636,0.6129017857142857,-3.946037904332692,-3.4411092362940634,False,28.0,0.52
J_1229,43,robust_valid,15.702766877657776,0.7027668776577762,2.5200415494045005,0.20626801191757216,0.6544097222222223,0.44326637000606434,-3.450665214062669,False,24.0,0.52
J_4341,44,robust_valid,14.629666042159991,0.37033395784000867,2.380019827233289,0.10874086151503415,0.5225446428571429,1.0271852153787586,-3.514478300927053,True,28.0,0.45
J_4985,45,robust_valid,13.849736157396046,1.1502638426039535,2.3715149174831645,0.05721356323871629,0.49498511904761905,-0.9364881370021816,-3.5165056651730207,False,28.0,0.45
J_2361,46,robust_valid,15.057551214566084,0.05755121456608414,2.400248124254097,0.14370956701034643,0.537797619047619,1.0359273917525866,-3.5277690856884583,True,28.0,0.45
J_188,47,robust_valid,15.456207012710792,0.45620701271079156,2.537245059038232,0.16386543570488132,0.64375,1.0409663589262204,-3.5441767050191606,True,24.0,0.52
J_1469,48,robust_valid,15.538131780635798,0.5381317806357977,2.3762808025017965,0.13585821868229153,0.5548660714285715,0.9195692127631798,-3.5495047032007414,False,28.0,0.45
J_668,49,robust_valid,14.905975997659345,0.09402400234065489,2.496465613059314,0.15322533111288028,0.6214583333333333,1.03830633277822,-3.605006561303676,True,24.0,0.52
J_2965,50,robust_valid,15.387429444096705,0.3874294440967052,2.4474449632311206,0.17707097829397955,0.5496279761904762,1.044267744573495,-3.6078245877185076,True,28.0,0.45
J_2773,51,robust_valid,13.677805866702746,1.3221941332972538,2.3883790220082046,0.07194851111062828,0.4889732142857143,-1.4485952721141042,-3.7194915957014882,False,28.0,0.45
J_1898,52,robust_valid,16.109384624966427,1.1093846249664274,2.4814766187859094,0.14316484822977393,0.5755505952380953,-0.7923626628418388,-3.7310265216621006,False,28.0,0.52
J_1333,53,robust_valid,15.639392179364298,0.6393921793642985,2.3584481152928793,0.1477410569608698,0.5583482142857142,0.618758726147322,-3.7690646747980043,False,28.0,0.45
J_1418,54,robust_valid,16.227675662952166,1.2276756629521657,2.3920876580545594,0.10785194860135716,0.5795833333333333,-1.1560640017061576,-3.8036691713456836,False,28.0,0.52
J_3235,55,robust_valid,16.71165078385942,1.7116507838594188,2.58996472711345,0.17166093363056634,0.6961631944444444,-2.592037118170615,-3.803959022004577,False,24.0,0.52
J_2374,56,robust_valid,15.706721932319862,0.7067219323198621,2.4749850372079836,0.15333229146971616,0.5610565476190477,0.41816727590784264,-3.8548495903691355,False,28.0,0.52
J_4828,57,robust_valid,14.219374353036349,0.7806256469636512,2.514229011245785,0.14900865772924787,0.5924652777777778,0.1953752235413583,-3.8792672518058753,False,24.0,0.52
J_3869,58,robust_valid,14.649505814959463,0.350494185040537,2.5899278093599056,0.12167724520358825,0.6107291666666667,1.030419311300897,-3.970114017468778,True,24.0,0.45
J_4981,59,robust_valid,15.540045072365146,0.540045072365146,2.476842441415884,0.12882567596849814,0.5553125,0.9120712018966866,-4.071166259637304,False,28.0,0.52
J_979,60,robust_valid,14.96088100181666,0.039118998183340636,2.4831725319538696,0.16305854645056583,0.6233680555555555,1.0407646366126415,-4.149311152716935,True,24.0,0.45
J_4853,61,robust_valid,14.833874629866187,0.16612537013381257,2.411698143650579,0.13656298714912163,0.5300148809523809,1.0341407467872803,-4.213103942541961,True,28.0,0.45
J_3949,62,robust_valid,13.434815513032635,1.5651844869673646,2.471425709522403,0.11491314310243506,0.5595486111111111,-2.166825175126485,-4.229870531047657,False,24.0,0.45
J_3880,63,robust_valid,14.37795520368798,0.6220447963120197,2.681060768486117,0.24153139484820407,0.717625,0.6942484597759919,-4.279535410133031,False,20.0,0.6
J_1277,64,robust_valid,16.251602900089775,1.2516029000897753,2.5270775208846223,0.19531376458321226,0.5807440476190476,-1.2059802591235227,-4.325186963375426,False,28.0,0.52
J_3170,65,robust_valid,16.502905771312935,1.5029057713129355,2.509234388560883,0.1810453951689962,0.6874652777777778,-1.9634559651465573,-4.3831180606116495,False,24.0,0.52
J_1913,66,robust_valid,14.441037104071526,0.5589628959284738,2.4479518192011254,0.14758174325025664,0.5158482142857143,0.8600067480271427,-4.461411596112808,False,28.0,0.45
J_3834,67,robust_valid,15.237765037332645,0.23776503733264498,2.5019358984258404,0.08953218564203802,0.5445535714285714,1.0223830464105095,-4.466897556611652,True,28.0,0.52
J_4179,68,robust_valid,12.947527198521882,2.0524728014781175,2.507169087351633,0.08504782292252455,0.5397743055555555,-3.6361564487037215,-4.500036408007386,False,24.0,0.45
J_3509,69,robust_valid,16.485270724038376,1.4852707240383758,2.426451604633987,0.15045797206707812,0.5893005952380952,-1.918197679098358,-4.535561578587059,False,28.0,0.45
J_4013,70,robust_valid,13.425640454380963,1.5743595456190373,2.5313147981015294,0.1846441195198798,0.5594965277777778,-2.176917606977142,-4.5837374168661995,False,24.0,0.45
J_803,71,robust_valid,14.40254628210801,0.5974537178919892,2.52756975463584,0.21033422537784885,0.5997916666666666,0.7602224026684946,-4.632623725369339,False,24.0,0.45
J_1741,72,robust_valid,14.700445779359276,0.299554220640724,2.4667676698751864,0.1355775377863061,0.6126388888888888,1.0338943844465764,-4.697691220721039,True,24.0,0.45
J_357,73,robust_valid,15.905120460904238,0.9051204609042376,2.3469836235547694,0.12454849107997357,0.5682440476190476,-0.18422425994271938,-4.861376179168177,False,28.0,0.45
J_3545,74,robust_valid,16.824044561336347,1.824044561336347,2.3719639535857855,0.17568300081500787,0.6012351190476191,-2.928212933805289,-4.896053883071028,False,28.0,0.45
J_533,75,robust_valid,17.264856181276194,2.264856181276194,2.428920758954344,0.17106328914767477,0.6166369047619048,-4.251802721541663,-4.987900370479182,False,28.0,0.52
J_3923,76,robust_valid,16.179055264979368,1.1790552649793682,2.480727889714047,0.2050608419326374,0.6739236111111111,-0.9859005844549452,-5.191728409298712,False,24.0,0.52
J_2553,77,margin_risk,13.558720891291406,1.4412791087085939,2.4486970338993372,0.02213610076748007,0.48485119047619046,-3.318303300933912,-5.216355420963646,False,28.0,0.52
J_4915,78,robust_valid,13.658693435279826,1.341306564720174,2.5260424943785327,0.15622164025911556,0.56921875,-1.4848642840957433,-5.2819009069975005,False,24.0,0.45
