recipe_id,rank_06c,rank_06a_rescore,yield_score_06c,yield_score_06a,p_robust_valid_06c,p_robust_valid_06a,mean_cd_fixed_06c,mean_cd_fixed_06a,mean_ler_locked_06c,mean_ler_locked_06a,cd_error_penalty_06c,ler_penalty_06c,pitch_nm,line_cd_ratio,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Hmax_mol_dm3,kdep_s_inv,Q0_mol_dm3,kq_s_inv,abs_len_nm
D_1585,1193,2676,0.28038333333333365,-1.612069497534962,0.6960666666666668,0.6619166666666668,15.49277348706731,17.777894497534962,2.5476805544300705,2.5665495716782583,0.0,0.0,24.0,0.52,44.07761951722205,2.8449151581153274,0.323344287648797,36.28745421767235,0.19382337972521782,0.35890705343335866,0.010074248984456063,0.9475369942374527,50.0
D_4811,1194,2301,0.2800333333333337,-1.1206907077320358,0.7053000000000003,0.6424666666666671,15.246791699448977,17.16804904106537,2.557065598100119,2.5895797582341684,0.0,0.0,24.0,0.52,59.501797621138394,2.6690021781250834,0.5638485855422914,36.42705036792904,0.17091471185907722,0.3684654779732227,0.010843384712934494,1.0785786723718047,50.0
D_1510,1195,1769,0.2797580463866785,-0.4945780906092554,0.7276333333333335,0.6644333333333333,13.944558046386678,13.309263576057411,2.579717578638139,2.681325720134693,0.055441953613321715,0.0,24.0,0.52,36.04604480881244,1.420013333670795,0.7182450869120658,28.880286035127938,0.1720796763431281,0.5261289550922811,0.0026527397241443394,1.263930776156485,50.0
D_4744,1196,712,0.2790148567731887,0.3341666666666669,0.8145500000000001,0.7360833333333335,16.236368476560145,15.576635928770468,2.5464955969893386,2.5426528084994535,0.2363684765601448,0.0,24.0,0.52,56.75383386388421,2.8709310684353113,0.4174013200215995,33.11470693908632,0.1648406780231744,0.4955842918716371,0.02336911375634372,0.665206256788224,50.0
D_4163,1197,1355,0.2789166666666663,-0.12703181541420477,0.6801166666666663,0.6309999999999998,14.281033269656055,16.248356815414205,2.5468981752579705,2.5874479603187273,0.0,0.0,24.0,0.52,45.342941229231656,0.6397423027083278,0.558623159956187,43.7794644664973,0.18194744368083776,0.4074162068776786,0.01920666368678212,0.6949034431017935,50.0
D_382,1198,3043,0.2786899301673401,-2.1752886270466143,0.8856500000000003,0.8900833333333334,16.43713506983266,18.895071960379948,2.535017365314638,2.5516074938821514,0.43713506983266015,0.0,24.0,0.52,52.918882777914405,1.5535870073363185,0.3868689497001469,37.2898888355121,0.16941460998728872,0.4521506945602596,0.00581522005610168,1.2528919144533575,50.0
D_1137,1199,804,0.2784500000000005,0.2774250000000002,0.6849000000000003,0.6859833333333334,14.503582867472836,14.41751812571305,2.5480176877901006,2.566631913986397,0.0,0.0,24.0,0.52,48.21957788988948,2.535918247886002,0.5802706258371473,30.344033711589873,0.19334759162738918,0.501209897827357,0.027249629320576785,1.7419429887086153,50.0
D_3589,1200,2110,0.27774999999999955,-0.8584116308980198,0.6740499999999997,0.6552166666666666,14.100887574672486,12.925855035768647,2.5367052335504625,2.5200356312012366,0.0,0.0,24.0,0.52,37.098267590627074,2.143049572594464,0.429334666300565,25.253023211844265,0.15690581377595664,0.5747044434770942,0.01747961123473942,1.8361284788697958,50.0
D_3484,1201,1706,0.27736606017891785,-0.4326987992884141,0.8584333333333332,0.721083333333333,13.626932726845585,13.20920953404492,2.537980614409674,2.523174386167089,0.37306727315441535,0.0,24.0,0.52,38.315256575122476,0.6828405288979411,0.4511735548265278,25.873891594819725,0.17943619928322732,0.5037404843606055,0.019447179744020104,0.5265577235259116,50.0
D_2000,1202,522,0.27610963150975676,0.45005000000000006,0.88185,0.7405666666666668,13.55431796484309,14.049861465875138,2.536084416448705,2.5178989540292798,0.44568203515690996,0.0,24.0,0.52,44.12545474804938,0.7398119615390897,0.3762317907065153,21.483291550539434,0.20719853597693144,0.4944119818508625,0.02216871698386967,1.0973141761496663,50.0
