Hmax,kdep,DH,status,selectable,CD_locked_nm,LER_CD_locked_nm,P_threshold_locked,cd_lock_status,P_line_center_mean,P_space_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,psd_locked_mid,psd_mid_band_reduction_locked_pct,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,total_LER_reduction_pct,total_LER_reduction_locked_pct,H_peak,H_min,P_max,P_min,distance_to_target
0.18,0.35,0.5,under_exposed,False,12.21185987962336,2.4698069313036006,0.41875,ok,0.573186257364363,0.16203855095923145,-0.076813742635637,0.41114770640513154,0.3640451388888889,0.36386400361896937,1.0345601683516066,77.59722711267926,12.458324199521941,8.732736086855265,-3.725588112666676,2.77190169436708,2.6041346164160317,2.481643150964996,10.471458781959432,10.898465976530886,0.06519106353656369,0.01657927912582697,0.5944022628982115,0.09290134728723029,0.4208075251993025
0.18,0.35,0.8,under_exposed,False,12.551172730037038,2.5925368174620047,0.4078125,ok,0.5451098516979884,0.2168896044957126,-0.1048901483020116,0.3282202472022758,0.30791666666666667,0.30748511542704354,0.793183983407428,82.82408198022001,12.458324199521941,7.379642770249045,-5.078681429272897,2.77190169436708,2.6041346164160317,2.757395788410227,0.5233196395936781,6.4708238849008115,0.05747835183687093,0.024198168018147215,0.5702219198188205,0.14840146835989226,0.5080319246266461
0.18,0.5,0.3,robust_valid,True,12.266180335043822,2.455661837558417,0.54375,ok,0.7263127274015785,0.15351197092746732,0.07631272740157846,0.5728007564741111,0.5566493055555556,0.5567055830950217,1.3810615092986884,70.09395076021936,12.458324199521941,13.36093399428052,0.9026097947585789,2.77190169436708,2.6041346164160317,2.468655443577559,10.940007411004606,11.40876884094807,0.07284439306327908,0.00943659177782791,0.741540664341279,0.06813120968880913,0.12256445468380678
0.18,0.5,0.5,robust_valid,True,12.585218795971539,2.4752677466701454,0.528125,ok,0.7047480243171436,0.22288824712544317,0.05474802431714354,0.48185977719170037,0.5597743055555555,0.5594901289329882,1.041291615232482,77.45146171373143,12.458324199521941,13.427763094391716,0.969438894869775,2.77190169436708,2.6041346164160317,2.4931165273884632,10.057541634508542,10.701459878600287,0.06519106353656369,0.01657927912582697,0.7256739518921954,0.1300820795788092,0.1152729364330492
0.18,0.5,0.8,valid,True,12.528674600724482,2.5919572121058403,0.528125,ok,0.6764360756152328,0.29462047325708374,0.026436075615232757,0.38181560235814904,0.5675,0.5671263208808117,0.7932943572311413,82.82169190201964,12.458324199521941,13.611031701139481,1.1527075016175399,2.77190169436708,2.6041346164160317,2.626219202690492,5.255687529346256,6.491733910582539,0.05747835183687093,0.024198168018147215,0.7018743326589071,0.20518930650187436,0.09264954182637344
0.18,0.65,0.3,robust_valid,True,12.490885344591486,2.457574360393846,0.6312500000000001,ok,0.8154697588818752,0.19439666321543203,0.1654697588818752,0.6210730956664432,0.6380555555555556,0.6380947372078187,1.385040692255086,70.00778396704838,12.458324199521941,15.31427369298765,2.855949493465708,2.77190169436708,2.6041346164160317,2.5104761540842158,9.431270265252197,11.339772063778245,0.07284439306327908,0.00943659177782791,0.8288202418837083,0.08767165908160578,0.05864910589570806
0.18,0.65,0.5,robust_valid,True,12.366334457726365,2.4717988237636757,0.6312500000000001,ok,0.7962086697055669,0.2791571272782553,0.1462086697055669,0.5170515424273117,0.6606944444444445,0.6606982314402882,1.0376725454765414,77.52983047398912,12.458324199521941,15.856757554566917,3.3984333550449755,2.77190169436708,2.6041346164160317,2.6014458443762987,6.1494190193387155,10.826605835742964,0.06519106353656369,0.01657927912582697,0.8149476722395214,0.16577140167655008,0.07545637334224412
0.18,0.65,0.8,robust_valid,True,12.309679080558643,2.587580498162427,0.6296875000000001,ok,0.7702790052842643,0.36454370264627933,0.12027900528426427,0.40573530263798496,0.7029340277777778,0.7033030158704557,0.7912635383424502,82.865668053171,12.458324199521941,16.87927238089094,4.420948181368997,2.77190169436708,2.6041346164160317,2.956963853962038,-6.676360852588389,6.649629623562101,0.05747835183687093,0.024198168018147215,0.7936820902978868,0.258264301792479,0.12537585348575045
0.2,0.35,0.3,under_exposed,False,12.436465263643768,2.4564935811004993,0.45312500000000006,ok,0.6372974214198306,0.12251201881490394,-0.012702578580169432,0.5147854026049267,0.45980902777777777,0.4591338703967374,1.379037522563634,70.13777896522808,12.458324199521941,11.019212889521699,-1.4391113100002428,2.77190169436708,2.6041346164160317,2.445993708414576,11.757559318023361,11.378762598527116,0.08241185790540548,0.010594648210081412,0.6531718616274377,0.053648802881360765,0.2710647341572737
0.2,0.35,0.5,under_exposed,False,12.40529646203022,2.4721525527491797,0.45,ok,0.6150925098421834,0.1795389223308793,-0.03490749015781658,0.43555358751130413,0.44081597222222224,0.44007277654692817,1.0333960778162699,77.62243478709127,12.458324199521941,10.561746637126276,-1.8965775623956649,2.77190169436708,2.6041346164160317,2.458499693995076,11.306389436857883,10.813844597268206,0.07377574743277374,0.01868237500739608,0.6365778292373945,0.10334105428026773,0.29994161856897394
