thickness_nm,amplitude,absorption_length_nm,DH_nm2_s,H0_z_modulation_pct,H0_z_modulation_sw_only_pct,P_final_z_modulation_pct,modulation_reduction_pct,top_bottom_asymmetry,sidewall_x_displacement_std_nm,psd_mid_band_locked,P_threshold_locked,CD_locked_nm,cd_lock_status,H_min,P_min,P_max,bounds_ok
15.0,0.2,100.0,0.8,30.161656734348156,21.0612901459387,2.333633123695061,92.26291465270369,0.013486486622267225,0.29792740688084135,0.07097990006385445,0.5671875,12.558802629025738,ok,0.03559444641582051,0.330626056790084,0.7204040249381105,True
20.0,0.0,15.0,0.3,97.09331050616116,0.0,52.05793544083993,46.38360236204271,0.4157942961481315,4.46242872659963,5.784210805689186,0.38749999999999996,12.594088199429299,ok,0.007507764698537108,0.06868605969362597,0.7393964925874423,True
20.0,0.0,15.0,0.5,97.09331050616116,0.0,49.70755892103255,48.804342274560405,0.4002518383013736,4.964532249469569,6.854407581606547,0.38749999999999996,12.62213769223535,ok,0.011598402044868871,0.1098155655940224,0.7096629321713631,True
20.0,0.0,15.0,0.8,97.09331050616116,0.0,46.80657549382471,51.792172653486205,0.3808351161617156,5.755473672360884,9.022635690620048,0.38984375000000004,12.633578707341243,ok,0.016120666298230817,0.1584317709408269,0.6711313121186997,True
20.0,0.0,30.0,0.3,44.92946575608931,0.0,20.762126198204854,53.789510182655675,0.18877459557815962,2.035177615595187,1.1041720865586857,0.49218749999999994,12.657950835047998,ok,0.012673795785202032,0.11519067729779074,0.7564531880546409,True
20.0,0.0,30.0,0.5,44.92946575608931,0.0,20.04624634251833,55.382851754026355,0.1827374480276074,2.3165426146669104,1.3686517747514524,0.49687499999999996,12.400478636093412,ok,0.018814375955564556,0.1754914914788966,0.7321541708679822,True
20.0,0.0,30.0,0.8,44.92946575608931,0.0,19.138153742732932,57.40400331793589,0.17506932498208885,2.6394500003700787,1.7129547727768408,0.4953125000000001,12.363999860948397,ok,0.02499852132272672,0.2407628064963673,0.6998178060503459,True
20.0,0.0,60.0,0.3,21.11425557670472,0.0,8.90580346532419,57.82089767280297,0.0853533272445887,0.9873393219803315,0.2567774326303684,0.54375,12.643512772039193,ok,0.01635426351395361,0.14733752577513123,0.7647908387947742,True
20.0,0.0,60.0,0.5,21.11425557670472,0.0,8.66353379718258,58.96831993100896,0.08311186185279039,1.101131261744969,0.30229091965429405,0.54375,12.50046108903644,ok,0.023795491595549636,0.21851357830643078,0.7432052361128864,True
20.0,0.0,60.0,0.8,21.11425557670472,0.0,8.345126299288905,60.47634135632965,0.0801646753571939,1.263250870822843,0.3854630777832419,0.54375,12.3768459443458,ok,0.030958553315576832,0.292046343067846,0.7140628483007151,True
20.0,0.0,100.0,0.3,12.286127793286793,0.0,4.988379830026979,59.39827491658799,0.048689584847056995,0.5775054703236623,0.08914951048795178,0.5609375,12.705121973155407,ok,0.01806851848008442,0.1620601641760913,0.7680786921868024,True
20.0,0.0,100.0,0.5,12.286127793286793,0.0,4.868349940807481,60.37522950503922,0.047542483150815974,0.6436416839071689,0.1041201790461939,0.559375,12.610023468367993,ok,0.026072143086349038,0.23761763043184997,0.7475660933031948,True
20.0,0.0,100.0,0.8,12.286127793286793,0.0,4.707257354951686,61.686404096140386,0.046002309545008016,0.7368544904055141,0.12961393041681452,0.559375,12.505049531050878,ok,0.03364033762244524,0.3141912336746621,0.7197004812847837,True
20.0,0.05,15.0,0.3,99.05311904826743,1.9598085421062734,52.2902083338425,47.209932573287176,0.4165489606906,4.489820349871165,5.925946531002775,0.38749999999999996,12.582262211820026,ok,0.007487183330268637,0.06852576252364179,0.7410283956171874,True
20.0,0.05,15.0,0.5,99.05311904826743,1.9598085421062734,49.92514801495693,49.597601272273934,0.401244792258731,4.993748806594746,7.003011108896605,0.38749999999999996,12.608695880857468,ok,0.011575441632531215,0.10957397050932037,0.7106884709498928,True
20.0,0.05,15.0,0.8,99.05311904826743,1.9598085421062734,47.00169174681608,52.54900380884251,0.3818781062715135,5.788755451803388,9.200258118265689,0.38984375000000004,12.6167841127121,ok,0.016096299531127196,0.15814612065863454,0.6717854720182346,True
20.0,0.05,30.0,0.3,45.96480324409011,1.0353374880008062,20.910507245761206,54.50756716020587,0.18967425352843614,2.0502969851944757,1.140829048599324,0.49218749999999994,12.650363410271986,ok,0.012640575423456448,0.1149849676095238,0.7579443045364398,True
20.0,0.05,30.0,0.5,45.96480324409011,1.0353374880008062,20.19280659685893,56.06898067282557,0.18376740923459198,2.333749510549732,1.408451090361106,0.49687499999999996,12.390622857565527,ok,0.01877681969084839,0.17516054132961903,0.7330658723995013,True
