sweep,x_var,y_var,x_val,y_val,CD_final_nm,CD_locked_nm,LER_CD_locked_nm,P_line_margin,area_frac,contrast,psd_locked_mid,status
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,28.4,2,11.743171157995759,12.353616596459904,2.467998603582617,0.006430508565422377,0.48918402777777775,0.4661344108513712,1.043923986632937,valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,40,2,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,44.2,2,15.219310883200137,12.60343697641633,2.477080194318891,0.1178943183308565,0.6340277777777777,0.504275036153305,1.0349040332647619,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,59,2,17.07866453135271,12.558978599355179,2.482741078037786,0.17219205669823923,0.7108680555555555,0.5044489770055689,1.0261517237506474,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,60,2,17.183866479893073,12.682301228261867,2.4860250101872694,0.1748680644604298,0.7153993055555555,0.5038771485458119,1.0289265895703728,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,21,3,7.262618841057636,12.652696570266793,2.491959268335436,-0.09971193398036315,0.3033854166666667,0.3521225940145155,0.6301655109935433,under_exposed
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,28.4,3,11.949126544749868,12.42914637038842,2.4934340168961335,-0.008787995281589356,0.49774305555555554,0.3877565681185495,0.6251753349444915,under_exposed
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,40,3,15.656431506862635,12.4780809600535,2.506158977307397,0.08362461214882011,0.65234375,0.4058606187607684,0.6202658495610274,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,44.2,3,16.667877291829864,12.571474323616576,2.513563949229783,0.10719235447644637,0.6944270833333334,0.40575051604422124,0.619379285441625,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,59,3,19.674203208035735,12.612037574577226,2.5335905854665297,0.16506877790651964,0.8230729166666667,0.39144980132966306,0.6172174869788655,robust_valid
pair:dose_mJ_cm2×electron_blur_sigma_nm,dose_mJ_cm2,electron_blur_sigma_nm,60,3,19.843137974217274,12.38199722335749,2.5270204133657703,0.16795128485644972,0.8305208333333334,0.39001122255880544,0.6152681067479426,robust_valid
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,20,0.3,11.34471387706687,12.617385480502467,2.4780829112715548,-0.0019023347782528566,0.4727777777777778,0.553861137729504,1.6488205357787187,under_exposed
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,30,0.3,14.253912554723376,12.445499193436458,2.456604900261986,0.11637438168283043,0.5939930555555556,0.5964612335088799,1.3796443532909517,robust_valid
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,45,0.3,16.98462352990667,12.475813887803744,2.460010799191487,0.2112739877314228,0.7074826388888888,0.5757306377058107,1.1287260766835001,robust_valid
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,20,0.5,11.002557338485891,12.591394704035627,2.455501966873786,-0.017012251284518554,0.4590625,0.49052863411977954,1.2784345374361277,under_exposed
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,30,0.5,14.527181125473186,12.31041177549831,2.4708961622430103,0.09550847259722162,0.6056597222222222,0.4996126432254625,1.0323447669340082,robust_valid
pair:time_s×DH_nm2_s,time_s,DH_nm2_s,45,0.5,18.601470847905855,12.69619797620065,2.559052884818706,0.18795685649482718,0.7761284722222223,0.4480004879486527,0.8472688052165942,robust_valid
