block_label,pitch_nm,dose_mJ_cm2,sigma_nm,DH_nm2_s,time_s,Q0_mol_dm3,kq_s_inv,P_space_center_mean,P_line_center_mean,P_line_margin,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_design_initial_nm,LER_after_eblur_H0_nm,LER_after_PEB_P_nm,electron_blur_LER_reduction_pct,PEB_LER_reduction_pct,total_LER_reduction_pct,psd_PEB_high,psd_high_band_reduction_pct,status
control_sigma0_no_q,24.0,21.0,0.0,0.5,30.0,0.02,1.0,0.14153119420805316,0.636046359661318,-0.013953640338682072,0.4945151654532648,0.4494270833333333,0.44889711551539363,12.458333333333332,10.773530772369448,-1.6848025609638846,2.77190169436708,2.77190169436708,2.501058715997111,0.0,9.77101673267716,9.77101673267716,0.0008983061203949186,99.88453182358779,under_exposed
control_sigma0_no_q,24.0,28.4,0.0,0.5,30.0,0.02,1.0,0.17287434944739,0.7164816886890355,0.06648168868903548,0.5436073392416455,0.5288368055555556,0.5285293123195207,12.458333333333332,12.684703495668497,0.22637016233516505,2.77190169436708,2.77190169436708,2.521352501186145,0.0,9.038891735954731,9.038891735954731,0.0013269523234909811,99.82943368468635,robust_valid
control_sigma0_no_q,24.0,40.0,0.0,0.5,30.0,0.02,1.0,0.21006022518366654,0.7922139688794154,0.1422139688794154,0.5821537436957489,0.5937152777777778,0.593619143298796,12.458333333333332,14.246859439171104,1.7885261058377715,2.77190169436708,2.77190169436708,2.531092523620566,0.0,8.687507613847714,8.687507613847714,0.0006265783347651824,99.91945968523189,robust_valid
control_sigma0_no_q,24.0,44.2,0.0,0.5,30.0,0.02,1.0,0.22074083209320913,0.8105475229612158,0.16054752296121577,0.5898066908680066,0.6099305555555555,0.6098253946044068,12.458333333333332,14.635809470505762,2.1774761371724303,2.77190169436708,2.77190169436708,2.5361523688095637,0.0,8.504967042539576,8.504967042539576,0.000497249497620808,99.93608360066953,robust_valid
control_sigma0_no_q,24.0,59.0,0.0,0.5,30.0,0.02,1.0,0.2497892786974834,0.85374098150333,0.20374098150332998,0.6039517028058465,0.6506076388888888,0.6506479266495971,12.458333333333332,15.61555023959033,3.1572169062569984,2.77190169436708,2.77190169436708,2.5603568676780095,0.0,7.631757905374542,7.631757905374542,0.00020188782352011724,99.97404935990923,robust_valid
control_sigma0_no_q,24.0,60.0,0.0,0.5,30.0,0.02,1.0,0.251358045875837,0.8558176491475028,0.20581764914750278,0.6044596032716658,0.6526215277777778,0.6527453250921119,12.458333333333332,15.665887802210687,3.2075544688773547,2.77190169436708,2.77190169436708,2.562190285990161,0.0,7.565614927942212,7.565614927942212,0.00019673760272667635,99.97471136876084,robust_valid
control_sigma0_no_q,28.0,21.0,0.0,0.5,30.0,0.02,1.0,0.06290430921426737,0.6359651084163137,-0.014034891583686315,0.5730607992020463,0.3833482142857143,0.3828721553359089,12.458333333333332,10.72042034940545,-1.7379129839278828,2.77190169436708,2.77190169436708,2.4659109866200812,0.0,11.039017306018383,11.039017306018383,0.0008542807924158018,99.8901908347225,under_exposed
control_sigma0_no_q,28.0,28.4,0.0,0.5,30.0,0.02,1.0,0.07765215942416301,0.7164026943367342,0.06640269433673418,0.6387505349125712,0.4504613095238095,0.4502090726677313,12.458333333333332,12.605854034696476,0.14752070136314366,2.77190169436708,2.77190169436708,2.471762364914983,0.0,10.82792113667036,10.82792113667036,0.00135322024410372,99.8260572088699,robust_valid
control_sigma0_no_q,28.0,40.0,0.0,0.5,30.0,0.02,1.0,0.09558504860233248,0.792141734413656,0.14214173441365596,0.6965566858113235,0.5039434523809524,0.5041624592060265,12.458333333333332,14.116548857768743,1.6582155244354109,2.77190169436708,2.77190169436708,2.4521663410252623,0.0,11.534873476630427,11.534873476630427,0.0006522215679656753,99.91616350667121,robust_valid
control_sigma0_no_q,28.0,44.2,0.0,0.5,30.0,0.02,1.0,0.10082780381418628,0.8104777710249684,0.1604777710249684,0.7096499672107821,0.5173809523809524,0.5173467110743956,12.458333333333332,14.485707910083075,2.027374576749743,2.77190169436708,2.77190169436708,2.4453475962309708,0.0,11.780868664993283,11.780868664993283,0.0004966366338059818,99.93616237812132,robust_valid
control_sigma0_no_q,28.0,59.0,0.0,0.5,30.0,0.02,1.0,0.1153054406909086,0.8536787094754544,0.2036787094754544,0.7383732687845458,0.5498363095238096,0.5499576871776491,12.458333333333332,15.398815240974177,2.9404819076408444,2.77190169436708,2.77190169436708,2.4283007038931825,0.0,12.395857730890897,12.395857730890897,0.0001898929554378798,99.97559117902001,robust_valid
control_sigma0_no_q,28.0,60.0,0.0,0.5,30.0,0.02,1.0,0.11609667265491735,0.8557558020647352,0.2057558020647352,0.7396591294098178,0.5513988095238095,0.551606272128888,12.458333333333332,15.444975619608863,2.986642286275531,2.77190169436708,2.77190169436708,2.427513894824258,0.0,12.424242903082373,12.424242903082373,0.0001811196164469946,99.97671890311243,robust_valid
control_sigma0_no_q,32.0,21.0,0.0,0.5,30.0,0.02,1.0,0.024916093908797957,0.6359610663070608,-0.014038933692939182,0.6110449723982628,0.33522135416666665,0.3348586438974067,12.458333333333332,10.715476604717015,-1.7428567286163172,2.77190169436708,2.77190169436708,2.4621476746664253,0.0,11.17478373530062,11.17478373530062,0.0008532677458443876,99.8903210516247,under_exposed
control_sigma0_no_q,32.0,28.4,0.0,0.5,30.0,0.02,1.0,0.03091061817885478,0.7163987649998537,0.06639876499985364,0.6854881468209989,0.39391927083333333,0.39368363225708436,12.458333333333332,12.5978762322267,0.13954289889336735,2.77190169436708,2.77190169436708,2.4660134709197656,0.0,11.035320050091427,11.035320050091427,0.0013556255507925729,99.82574803099526,robust_valid
control_sigma0_no_q,32.0,40.0,0.0,0.5,30.0,0.02,1.0,0.038282440109375246,0.792138141900312,0.14213814190031193,0.7538557017909367,0.44048177083333334,0.44070970728527914,12.458333333333332,14.102710633128932,1.6443772997956003,2.77190169436708,2.77190169436708,2.442754986795485,0.0,11.874400460899112,11.874400460899112,0.000653867195897323,99.91595197782596,robust_valid
control_sigma0_no_q,32.0,44.2,0.0,0.5,30.0,0.02,1.0,0.040455153126987754,0.8104743021443312,0.16047430214433123,0.7700191490173435,0.452109375,0.452175840922109,12.458333333333332,14.469626909507488,2.0112935761741557,2.77190169436708,2.77190169436708,2.4345232570552264,0.0,12.171370939938353,12.171370939938353,0.0004982910256349644,99.93594972276563,robust_valid
control_sigma0_no_q,32.0,59.0,0.0,0.5,30.0,0.02,1.0,0.04649713524890963,0.8536756130035797,0.20367561300357973,0.8071784777546701,0.48041666666666666,0.48047718763901626,12.458333333333332,15.37527000444852,2.916936671115188,2.77190169436708,2.77190169436708,2.412849005383122,0.0,12.953298081010844,12.953298081010844,0.00019204775611136166,99.97531420116286,robust_valid
